DATE,EMVHOUSELANDMGMT
01-08-2019,0.43908
01-09-2019,0
01-10-2019,0.21259
01-11-2019,0.15002
01-12-2019,0.31483
01-01-2020,0.13185
01-02-2020,0.33484
01-03-2020,0.81865
01-04-2020,0.52731
01-05-2020,1.25406
01-06-2020,0.37236
01-07-2020,0.6222
01-08-2020,0.65212
01-09-2020,0.1539
01-10-2020,0.51584
01-11-2020,0.45887
01-12-2020,0.84802
01-01-2021,1.20071
01-02-2021,0
01-03-2021,0.8011
01-04-2021,0.16128
01-05-2021,1.38037
01-06-2021,0.17017
01-07-2021,0
01-08-2021,0
01-09-2021,0
01-10-2021,0.80672
01-11-2021,0.28556
01-12-2021,0
01-01-2022,0
01-02-2022,0
01-03-2022,0
01-04-2022,0
01-05-2022,0
01-06-2022,1.06053
01-07-2022,0
01-08-2022,0
01-09-2022,0
01-10-2022,0
01-11-2022,0
01-12-2022,0.31882
01-01-2023,0.30211
01-02-2023,0
01-03-2023,0.1677
01-04-2023,0.3189
01-05-2023,0
